(4044,7419)
(3491,3735)
(1102,3659)
(3828,3558)
(4173,3424)
(3734,3370)
(2385,3245)
(4976,3131)
(798,3032)
(422,2947)
(1892,2842)
(1393,2821)
(1535,2770)
(4282,2765)
(4760,2757)
(3760,2682)
(4644,2643)
(184,2445)
(598,2437)
(3698,2126)
(375,2119)
(4043,2107)
(2537,2010)
(1760,1955)
(2482,1953)
(2138,1886)
(4659,1863)
(606,1852)
(4218,1813)
(1257,1810)
(4538,1665)
(141,1657)
(2031,1630)
(3826,1612)
(420,1607)
(4918,1606)
(2813,1579)
(4079,1545)
(173,1521)
(962,1510)
(1816,1507)
(2223,1502)
(2217,1478)
(742,1464)
(2403,1453)
(66,1449)
(1056,1384)
(2468,1376)
(4845,1367)
(4048,1362)
(2669,1351)
(2418,1350)
(1861,1295)
(4648,1285)
(4818,1244)
(3022,1240)
(361,1239)
(4766,1229)
(2273,1213)
(2336,1206)
(474,1197)
(4798,1192)
(2545,1183)
(1087,1168)
(4847,1149)
(2954,1133)
(1346,1122)
(3971,1114)
(4871,1114)
(2387,1110)
(3578,1107)
(4605,1085)
(2676,1076)
(1,1073)
(1480,1066)
(4127,1060)
(2823,1053)
(2206,1051)
(4257,1013)
(2193,987)
(1487,983)
(4160,980)
(2664,980)
(310,974)
(4129,971)
(1727,961)
(1200,959)
(1310,948)
(2928,934)
(3859,925)
(3163,912)
(3623,905)
(4287,892)
(2318,889)
(3173,886)
(4427,886)
(2677,882)
(1867,877)
(643,867)
(786,846)
