(191499,2494)
(353560,2250)
(1059899,1917)
(713695,1754)
(655904,1674)
(67897,1572)
(221663,1547)
(1039919,1511)
(454937,1387)
(81360,1361)
(514725,1356)
(783997,1351)
(823766,1343)
(107407,1319)
(889095,1272)
(936203,1270)
(770668,1257)
(698879,1235)
(349999,1218)
(671759,1167)
(186456,1162)
(315345,1067)
(729259,1021)
(946001,1015)
(926069,1002)
(181387,1002)
(28895,983)
(89953,975)
(413046,965)
(944554,948)
(617878,927)
(676215,873)
(213297,864)
(15207,859)
(49881,842)
(513855,842)
(48664,831)
(179830,827)
(981145,815)
(441588,814)
(939915,805)
(764906,787)
(1025501,778)
(3001,765)
(147751,763)
(343432,758)
(141675,757)
(100215,745)
(722301,742)
(678194,732)
(1100222,730)
(526229,730)
(952198,725)
(846908,711)
(1102377,708)
(605027,707)
(201405,704)
(15173,698)
(758374,698)
(335720,695)
(110347,693)
(950987,687)
(834362,687)
(399879,685)
(81901,676)
(487805,668)
(173776,659)
(1075577,659)
(203050,659)
(796566,653)
(276750,650)
(735931,647)
(209821,647)
(779070,645)
(235204,640)
(318890,635)
(986262,634)
(886674,622)
(717309,616)
(386646,616)
(28186,615)
(376482,610)
(554408,603)
(772645,601)
(992011,598)
(784134,597)
(472166,595)
(825218,590)
(566407,585)
(918348,580)
(982357,580)
(293244,577)
(419724,571)
(256896,559)
(893999,554)
(1042707,549)
(870470,549)
(82431,548)
(1093758,545)
(1112049,543)
